GERMAN,ENGLISH
ich ,I 
sie ,she 
das ,the 
ist ,is 
du ,you 
nicht ,not 
die ,the 
es ,it 
und ,and 
der ,the 
wir ,we 
was ,What 
zu ,to 
er ,he 
ein ,a 
in ,in 
ja ,Yes 
mir ,me 
mit ,with 
wie ,How 
den ,the 
mich ,me 
auf ,on 
dass ,that 
aber ,but 
eine ,one 
so ,so 
hat ,has 
hier ,here 
haben ,have 
für ,for 
sind ,are 
war ,was 
von ,from 
wenn ,if 
dich ,you 
ihr ,her 
nein ,no 
habe ,have 
an ,to 
bin ,am 
noch ,still 
nur ,only 
da ,there 
dir ,you 
sich ,itself 
einen ,a 
uns ,us 
hast ,have 
dem ,dem 
kann ,can 
gut ,good 
auch ,also 
schon ,already 
als ,as 
sein ,be 
mal ,just 
jetzt ,now 
ihn ,him 
dann ,then 
aus ,out of 
meine ,mine 
um ,around 
im ,in the 
wird ,becomes 
mein ,my 
bist ,are 
doch ,but 
alles ,everything 
weiß ,white 
keine ,no 
oder ,or 
nach ,after 
nichts ,nothing 
man ,man 
muss ,must 
werden ,become 
will ,wants 
ihnen ,them 
geht ,goes 
wo ,where 
etwas ,something 
oh ,Oh 
mehr ,more 
bei ,at 
also ,so 
bitte ,please 
immer ,always 
hab ,have 
warum ,Why 
vor ,before 
los ,go 
können ,can 
wieder ,again 
sagen ,say 
machen ,make 
danke ,Thanks 
sehr ,very 
alle ,all 
denn ,because 
mann ,man 
tun ,do 
ihm ,him 
zum ,for the 
gehen ,go 
sehen ,see 
vielleicht ,perhaps 
einem ,one 
wer ,who 
ihre ,her 
diese ,this 
euch ,you 
einer ,one 
komm ,come 
über ,above 
gibt ,gives 
okay ,OK 
wissen ,knowledge 
deine ,your 
müssen ,must 
soll ,should 
werde ,become 
nie ,never 
wirklich ,really 
hey ,hey 
kein ,no 
viel ,much 
weg ,away 
würde ,would 
tut ,does 
am ,on 
des ,des 
einfach ,simply 
leben ,life 
hatte ,had 
zeit ,time 
weil ,because 
willst ,want 
kommen ,come 
dein ,your 
heute ,today 
kommt ,comes 
wollen ,want 
damit ,with it 
ganz ,quite 
wäre ,were 
wollte ,wanted 
weißt ,know 
ok ,OK 
sicher ,secure 
gesagt ,said 
frau ,woman 
nun ,so 
bis ,until 
wurde ,became 
leid ,sorrow 
kannst ,can 
macht ,might 
dieser ,this 
zurück ,back 
lassen ,let 
hallo ,Hello 
meinen ,mean 
gott ,God 
seine ,his 
hätte ,would have 
zwei ,two 
könnte ,could 
genau ,Exactly 
waren ,were 
zur ,to 
lass ,let 
klar ,clear 
morgen ,morning 
leute ,people 
vater ,father 
schön ,nice 
glaube ,believe 
mr. ,mr. 
ab ,away 
gerade ,straight 
tag ,day 
gesehen ,seen 
reden ,talk 
wohl ,probably 
liebe ,love 
sollte ,should 
sagte ,said 
unsere ,our 
jemand ,someone 
geld ,money 
durch ,through 
ob ,whether 
keinen ,none 
mutter ,mother 
raus ,out 
gemacht ,made 
paar ,couple 
mach ,do 
passiert ,happened 
dachte ,thought 
besser ,better 
musst ,must 
wieso ,how come 
dieses ,this 
selbst ,himself 
gehört ,heard 
möchte ,want 
hör ,listen 
her ,here 
sag ,say 
meiner ,mine 
anderen ,others 
helfen ,help 
nacht ,night 
finden ,find 
diesen ,this one 
gute ,good 
wirst ,will 
lange ,long 
natürlich ,naturally 
meinem ,mine 
gar ,even 
ins ,into the 
sei ,be 
dort ,there 
weiter ,further 
geben ,give 
seit ,since 
gleich ,even 
sagt ,says 
recht ,right 
ihren ,your 
richtig ,correct 
ordnung ,order 
vom ,from the 
hören ,hear 
sieht ,sees 
davon ,of that 
dafür ,for that 
geh ,go 
diesem ,this one 
wegen ,because of 
hause ,home 
sollten ,should 
mädchen ,girl 
hin ,there 
sollen ,should 
abend ,evening 
haus ,a house 
denke ,think 
viele ,many 
drei ,three 
deinen ,yours 
freund ,friend 
guten ,good 
unser ,our 
warte ,wait 
machst ,do 
menschen ,people 
essen ,eat 
angst ,fear 
bleiben ,remain 
zusammen ,together 
welt ,world 
unter ,under 
habt ,have 
schnell ,fast 
andere ,other 
tot ,dead 
getan ,did 
darf ,may 
erst ,first 
rein ,pure 
stimmt ,true 
nehmen ,take 
kinder ,children 
eines ,one 
glauben ,believe 
bringen ,bring 
ganze ,whole 
genug ,enough 
scheiße ,shit 
brauchen ,need 
gegen ,against 
moment ,moment 
junge ,boy 
steht ,stands 
sonst ,otherwise 
musik ,music 
arbeit ,work 
seid ,are 
ihrer ,theirs 
fragen ,questions 
herr ,Mr 
dabei ,included 
heißt ,is called 
familie ,family 
warten ,wait 
niemand ,no one 
sofort ,immediately 
bevor ,before 
jahre ,years 
einmal ,once 
problem ,problem 
sohn ,son 
wann ,When 
brauche ,need 
fertig ,complete 
halt ,stop 
allein ,alone 
beim ,at the 
beide ,both 
gefunden ,found 
hatten ,had 
sache ,matter 
hilfe ,help 
verdammt ,damned 
ne ,no 
jeder ,everyone 
warst ,were 
gern ,gladly 
konnte ,could 
darüber ,about it 
halten ,hold 
siehst ,see 
verstehe ,understand 
jahren ,years 
kam ,came 
kind ,child 
wusste ,knew 
wahr ,true 
seinen ,his 
dazu ,in addition 
bruder ,brother 
daran ,to it 
ihrem ,theirs 
denken ,think 
könnten ,could 
dank ,thanks to 
würden ,would 
lieber ,Dear 
fall ,case 
deiner ,yours 
sehe ,see 
egal ,doesn't matter 
kennen ,know 
deinem ,yours 
vergessen ,forget 
frage ,ask 
mache ,make 
komme ,come 
sage ,saw 
mag ,likes 
sieh ,see 
echt ,real 
gib ,give 
eigentlich ,actually 
jeden ,every 
dad ,dad 
gab ,gave 
uhr ,clock 
stadt ,city 
männer ,men 
baby ,baby 
fahren ,drive 
namen ,names 
bekommen ,receive 
kopf ,head 
gehe ,go 
kleine ,small 
später ,later 
glück ,happiness 
letzte ,last 
freunde ,friends 
all ,all 
darauf ,on it 
ende ,end 
bald ,soon 
töten ,kill 
dinge ,things 
meinst ,mean 
toll ,great 
eins ,one 
minuten ,minutes 
vielen ,many 
bereit ,ready 
weit ,far 
ahnung ,idea 
seiner ,his 
bisschen ,a little 
tür ,door 
auto ,car 
jungs ,guys 
eure ,your 
augen ,eyes 
polizei ,police 
stehen ,stand 
sterben ,die 
hätten ,would have 
draußen ,outside 
kenne ,know 
fast ,almost 
runter ,down 
vorbei ,over 
treffen ,meet 
gerne ,gladly 
dran ,your turn 
wurden ,became 
arbeiten ,work 
mom ,mom 
verrückt ,crazy 
neue ,new 
ging ,went 
hinter ,behind 
sorgen ,care for 
einzige ,only 
jemanden ,someone 
darum ,therefore 
tochter ,daughter 
braucht ,needs 
idee ,idea 
schwester ,sister 
drin ,inside 
ruhig ,quiet 
sah ,saw 
ganzen ,entire 
spät ,late 
ziemlich ,quite 
solltest ,should 
name ,name 
sogar ,even 
kurz ,short 
kerl ,guy 
frauen ,women 
suchen ,seek 
finde ,find 
je ,ever 
woher ,from where 
lang ,long 
job ,job 
keiner ,none 
seinem ,his 
hört ,hears 
verstehen ,understand 
spielen ,play 
überhaupt ,at all 
teufel ,devil 
verstanden ,understood 
verloren ,lost 
große ,size 
hand ,hand 
grund ,reason 
jahr ,year 
kommst ,come 
mama ,mama 
ruhe ,quiet 
gewesen ,been 
tod ,death 
stunden ,hours 
hoffe ,hope 
denkst ,think 
oben ,above 
gestern ,yesterday 
versuchen ,attempt 
art ,art 
letzten ,last 
schatz ,treasure 
endlich ,finally 
he ,hey 
nimm ,take 
etwa ,approximately 
erzählt ,told 
läuft ,running 
schwer ,difficult 
anders ,different 
miss ,miss 
fünf ,five 
wasser ,water 
lässt ,lets 
erste ,first 
versucht ,tried 
gekommen ,came 
geschichte ,story 
wenig ,few 
holen ,fetch 
bedeutet ,means 
wahrheit ,truth 
woche ,week 
bringt ,brings 
deshalb ,for this reason 
welche ,which 
bestimmt ,certainly 
hoch ,high 
alter ,age 
sagst ,say 
schau ,look 
ah ,uh 
land ,country 
zimmer ,room 
wagen ,dare 
vier ,four 
gefallen ,fallen 
spaß ,fun 
niemals ,never 
schuld ,fault 
getötet ,killed 
wollten ,wanted 
verlassen ,leave 
zeigen ,show 
beste ,best 
ernst ,serious 
unserer ,ours 
denen ,those 
ort ,location 
bleibt ,remains 
würdest ,would 
manchmal ,sometimes 
glaubst ,believe 
seite ,page 
lasst ,let 
zwischen ,between 
eben ,even 
während ,while 
spiel ,game 
nehme ,take 
ersten ,first 
guter ,goods 
chance ,chance 
freundin ,girlfriend 
krieg ,war 
gefällt ,pleases 
kleinen ,small 
erzählen ,tell 
anderes ,other 
tage ,days 
entschuldigen ,excuse 
wichtig ,important 
gehst ,go 
allen ,everyone 
bett ,bed 
mrs. ,mrs. 
sachen ,things 
the ,the 
schlecht ,bad 
schule ,school 
entschuldigung ,excuse 
wort ,word 
john ,John 
hättest ,would have 
wären ,would be 
typ ,type 
schlafen ,sleep 
äh ,uh 
tu ,do 
euer ,your 
captain ,captain 
gesicht ,face 
falls ,if 
neuen ,new 
bloß ,just 
unten ,below 
beiden ,both 
mensch ,person 
kleiner ,smaller 
stellen ,place 
oft ,often 
sorge ,worries 
gedacht ,thought 
tust ,do 
trinken ,drink 
einige ,some 
dies ,this 
ding ,thing 
unseren ,ours 
blut ,blood 
ehrlich ,honest 
eltern ,parents 
scheint ,appears 
herz ,heart 
jack ,Jack 
glücklich ,happy 
alte ,old ones 
alt ,old 
bleib ,stay 
wiedersehen ,see you again 
frei ,free 
wen ,who 
drauf ,on it 
möglich ,possible 
irgendwie ,somehow 
reicht ,suffices 
fest ,firmly 
besten ,best 
waffe ,weapon 
kaum ,barely 
irgendwas ,something 
klingt ,sounds 
platz ,place 
brauchst ,need 
rede ,speech 
papa ,papa 
falsch ,incorrect 
sondern ,rather 
alten ,old 
nummer ,number 
früher ,earlier 
jungen ,boys 
wohin ,where 
außer ,except 
früh ,early 
setzen ,set 
zuerst ,first 
wahrscheinlich ,probably 
dürfen ,may 
jede ,every 
arsch ,ass 
telefon ,phone 
tue ,do 
kennst ,know 
willkommen ,welcome 
plan ,plan 
großen ,big 
retten ,save 
hierher ,here 
wär ,would be 
bring ,bring 
fehler ,mistake 
wollt ,wanted 
dollar ,dollar 
zehn ,ten 
allem ,everything 
pass ,passport 
nächste ,next 
stunde ,hour 
hände ,hands 
gegeben ,given 
menge ,crowd 
langsam ,slow 
bereits ,already 
wartet ,waits 
sechs ,six 
lieben ,love 
meines ,mine 
büro ,office 
nächsten ,next 
gebe ,give 
wochen ,weeks 
ruf ,call 
schaffen ,create 
leider ,unfortunately 
scheiß ,shit 
hölle ,hell 
trotzdem ,despite it 
doktor ,doctor 
tja ,well 
new ,new 
voll ,full 
film ,film 
überall ,everywhere 
hund ,dog 
geworden ,become 
direkt ,direct 
wolltest ,wanted 
tat ,did 
denkt ,thinks 
schiff ,ship 
neues ,new 
wem ,whom 
könig ,king 
danach ,thereafter 
funktioniert ,functions 
hattest ,had 
lernen ,learn 
deswegen ,because of this 
wow ,Wow 
nennen ,to name 
hm ,Hm 
feuer ,fire 
laufen ,run 
alleine ,alone 
erinnern ,remember 
völlig ,fully 
kleines ,small 
könnt ,can 
stelle ,place 
kumpel ,buddy 
verlieren ,lose 
probleme ,problems 
spricht ,speaks 
kaffee ,coffee 
luft ,air 
fand ,found 
i ,i 
entschuldige ,sorry 
ziehen ,pull 
verschwinden ,disappear 
könntest ,could 
seht ,see 
aufhören ,stop 
richtige ,correct 
unserem ,ours 
suche ,search 
zwar ,that is 
groß ,large 
hol ,get 
buch ,book 
krank ,sick 
fühle ,feel 
jedes ,each 
verstehst ,understand 
wert ,value 
arzt ,physician 
froh ,glad 
versuche ,try 
straße ,street 
rufen ,call 
heiraten ,marry 
super ,super 
sam ,Sam 
lebt ,lives 
gutes ,good 
lasse ,let 
onkel ,uncle 
total ,total 
gebracht ,brought 
party ,party 
erklären ,explain 
spielt ,plays 
wahl ,choice 
vertrauen ,trust 
damals ,at that time 
tagen ,meetings 
leicht ,light 
nachdem ,after 
gegangen ,gone 
gefühl ,feeling 
kaufen ,buy 
geschafft ,done 
typen ,types 
interessiert ,interested 
möchten ,want 
halte ,hold 
hält ,holds 
glaub ,believe 
irgendwo ,somewhere 
stück ,piece 
genauso ,just as 
kennt ,knows 
genommen ,taken 
zukunft ,future 
weniger ,fewer 
cool ,cool 
licht ,light 
getroffen ,met 
himmel ,heaven 
nachricht ,news 
drüben ,over 
passt ,fits 
sagten ,said 
kümmern ,take care 
laut ,loud 
vergiss ,forget 
angerufen ,called 
sitzen ,sit 
daß ,that 
erde ,earth 
großer ,big one 
schlüssel ,key 
rest ,rest 
passieren ,happen 
eher ,rather 
gefragt ,asked 
gefängnis ,jail 
opfer ,victim 
körper ,body 
solche ,such 
mist ,crap 
mr ,mr 
findet ,finds 
schreiben ,write 
böse ,evil 
gesprochen ,spoken 
versuch ,attempt 
vorstellen ,introduce 
wovon ,from what 
sobald ,as soon as 
nochmal ,again 
herren ,gentlemen 
sex ,sex 
waffen ,weapons 
wohnung ,apartment 
weh ,sore 
heißen ,be called 
krankenhaus ,hospital 
bringe ,bring 
höre ,listen 
millionen ,million 
klasse ,class 
hart ,hard 
worden ,been 
sinn ,sense 
außerdem ,aside from that 
verletzt ,injured 
ändern ,change 
erfahren ,experience 
tragen ,carry 
wenigstens ,at least 
vorsichtig ,cautious 
daddy ,daddy 
stolz ,proud 
stark ,strong 
fällt ,falls 
möchtest ,would like 
leuten ,people 
besonders ,particularly 
schöne ,beautiful 
schicken ,send 
person ,person 
schätze ,guess 
solange ,as long as 
länger ,longer 
großartig ,great 
lacht ,laughs 
anrufen ,call 
stand ,stood 
redest ,talk 
fühlen ,feel 
erwartet ,expected 
boden ,floor 
boss ,boss 
stimme ,agree 
glaubt ,believes 
still ,silent 
sicherheit ,security 
setz ,put 
ma ,ma 
mund ,mouth 
kämpfen ,battle 
wisst ,know 
lachen ,laugh 
hörst ,hear 
zeug ,things 
lustig ,funny 
umbringen ,kill 
sollst ,should 
hasse ,hate 
schlimm ,terrible 
o ,O 
unglaublich ,incredible 
wärst ,would be 
laden ,load 
führen ,lead 
gestorben ,died 
schauen ,look 
meinung ,opinion 
lesen ,read 
mörder ,murderer 
frank ,frank 
ähm ,um 
geschehen ,happen 
geschäft ,business 
idiot ,idiot 
verzeihung ,forgiveness 
fliegen ,fly 
zeig ,show 
team ,team 
general ,general 
mike ,Mike 
aufs ,ons 
york ,York 
vorher ,previously 
schluss ,ending 
schneller ,faster 
liebt ,loves 
verdient ,earned 
mögen ,like 
meisten ,most 
denk ,think 
umgebracht ,killed 
perfekt ,perfect 
versprochen ,promised 
handy ,cell phone 
hinten ,rear 
monate ,months 
erinnere ,remember 
acht ,eight 
arbeitet ,works 
fallen ,fall 
rufe ,shout 
nötig ,necessary 
a ,a 
mord ,murder 
heraus ,out of here 
tages ,day 
unmöglich ,impossible 
liebling ,darling 
charlie ,charlie 
tatsächlich ,actually 
folgen ,consequences 
bitten ,ask 
behalten ,keep 
nähe ,vicinity 
arbeite ,work 
joe ,joe 
verdammte ,damn 
plötzlich ,suddenly 
lebens ,life 
hole ,fetch 
tisch ,table 
michael ,Michael 
hörte ,heard 
jemals ,ever 
liegen ,lay 
verkaufen ,sell 
gefährlich ,dangerous 
anfangen ,begin 
bekommt ,receives 
machte ,made 
ha ,Ha 
hotel ,hotel 
hilft ,helps 
werdet ,will 
meister ,master 
kampf ,battle 
antwort ,answer 
konnten ,could 
geschickt ,sent 
jedem ,everyone 
obwohl ,although 
sieben ,seven 
komisch ,funny 
gewinnen ,win 
ihres ,hers 
bezahlt ,paid 
you ,you 
voller ,fuller 
unterwegs ,on the way 
dumm ,dumb 
ärger ,aggravation 
bild ,picture 
george ,george 
neu ,new 
bezahlen ,pay 
dagegen ,against it 
seien ,be 
starb ,died 
tom ,tom 
monaten ,months 
leiche ,corpse 
niemanden ,nobody 
auge ,eye 
arschloch ,asshole 
verheiratet ,married 
peter ,Peter 
zieh ,pull 
nimmt ,takes 
gerettet ,saved 
agent ,agent 
traum ,dream 
entscheidung ,decision 
schlimmer ,worse 
regeln ,regulate 
fenster ,window 
fangen ,catch 
fort ,continued 
ständig ,constant 
gefahr ,danger 
absolut ,absolutely 
mary ,mary 
augenblick ,moment 
bescheid ,notice 
rum ,rum 
gedanken ,thoughts 
werd ,will 
ziel ,goal 
benutzt ,used 
bewegung ,movement 
jemandem ,someone 
wünschte ,wished 
worte ,words 
kamen ,came 
welcher ,which 
zahlen ,pay 
anfang ,beginning 
legen ,place 
erinnerst ,remember 
anwalt ,attorney 
fahr ,drive 
sitzt ,sits 
hilf ,help 
offen ,open 
schönen ,beautiful 
monsieur ,monsieur 
müsste ,would have to 
arme ,poor 
bier ,beer 
fürs ,for 
partner ,partner 
klein ,small 
david ,David 
klappe ,flap 
süß ,sweet 
herum ,around 
finger ,finger 
ehe ,before 
rolle ,role 
ließ ,let 
gleiche ,same 
monat ,month 
hochzeit ,wedding 
max ,max 
führt ,leads 
paris ,Paris 
wach ,awake 
wozu ,for what reason 
arm ,arm 
geschrieben ,written 
benutzen ,use 
informationen ,information 
erledigt ,completed 
hoffentlich ,hopefully 
müsst ,must 
fühlt ,feels 
tanzen ,dance 
ansehen ,view 
darfst ,may 
zuhause ,at home 
wunderbar ,wonderful 
hältst ,hold 
gewonnen ,won 
dame ,lady 
irgendwann ,sometime 
chffffff ,chffffff 
alex ,alex 
steckt ,stuck 
jedenfalls ,anyway 
schreit ,screams 
tolle ,great 
rüber ,over 
tschüss ,bye 
nennt ,calls 
raum ,space 
heiß ,hot 
foto ,photo 
kalt ,cold 
paul ,paul 
irgendetwas ,anything 
weile ,while 
bisher ,until now 
minute ,minute 
unbedingt ,absolutely 
zug ,train 
sekunden ,seconds 
wofür ,for what 
erzähl ,tell 
nen ,nen 
beweise ,proofs 
nahm ,took 
aller ,all 
freut ,happy 
seele ,soul 
schießen ,shoot 
müde ,tired 
dauert ,lasts 
magst ,like 
harry ,Harry 
brief ,letter 
gelernt ,learned 
sucht ,seeks 
bekannt ,known 
weitere ,more 
unfall ,accident 
dahin ,there 
kontrolle ,control 
beispiel ,example 
lady ,lady 
dasselbe ,same 
herzen ,hearts 
schlagen ,hit 
wütend ,angry 
weise ,way 
damen ,ladies 
darin ,in it 
gottes ,God 
holt ,fetch 
fehlt ,missing 
vorsicht ,caution 
heiße ,hot 
beweisen ,prove 
gehabt ,had 
zumindest ,at least 
vermisst ,missing 
hübsch ,pretty 
kriegt ,gets 
verbindung ,connection 
tief ,deep 
richtung ,direction 
lage ,location 
sowieso ,anyway 
kraft ,power 
normal ,normal 
lauf ,run 
ehre ,honor 
stell ,put 
geschenk ,gift 
bar ,bear 
tasche ,bag 
gelesen ,read 
gekauft ,bought 
wussten ,knew 
gestohlen ,stolen 
hunger ,hunger 
leg ,leg 
lügen ,lie 
beziehung ,relationship 
ben ,ben 
verschwunden ,disappeared 
steh ,stand 
nächstes ,next 
gearbeitet ,worked 
preis ,price 
witz ,joke 
meinte ,said 
liste ,list 
geist ,spirit 
neben ,next to 
gesucht ,wanted 
firma ,company 
süße ,sweetness 
rücken ,back 
schrecklich ,terrible 
letzter ,last 
verliebt ,in love 
öffnen ,open 
redet ,talks 
boot ,boat 
seltsam ,strange 
versteckt ,hidden 
fürchte ,fear 
verschwinde ,disappear 
erwischt ,caught 
verkauft ,sold 
erwarten ,expect 
pferd ,horse 
wunder ,wonder 
sauer ,sour 
vermutlich ,allegedly 
näher ,closer 
jung ,young 
majestät ,majesty 
aussehen ,look 
ans ,ans 
de ,de 
and ,and 
links ,left 
großes ,big 
welches ,which 
beschützen ,protect 
geboren ,born 
erreichen ,to reach 
punkt ,point 
kindern ,children 
kirche ,church 
verraten ,betrayed 
selber ,himself 
befehl ,command 
colonel ,colonel 
fährt ,drives 
zieht ,pulls 
geburtstag ,birthday 
haut ,skin 
wette ,bet 
reich ,rich 
sekunde ,second 
fahre ,drive 
schwöre ,swear 
geredet ,talked 
james ,james 
madame ,madame 
eigene ,own 
zeiten ,times 
traurig ,sad 
anruf ,call 
nachrichten ,news 
frieden ,peace 
karte ,map 
güte ,quality 
euren ,yours 
diesmal ,this time 
schade ,too bad 
persönlich ,personal 
kriege ,get 
stirbt ,dies 
bleibe ,stay 
verändert ,changed 
sonne ,sun 
lieb ,dear 
nämlich ,namely 
letztes ,last 
bekam ,got 
ruft ,calls 
professor ,professor 
gericht ,court 
nase ,nose 
ewig ,forever 
singen ,sing 
bank ,bank 
beschäftigt ,busy 
computer ,computer 
yeah ,yeah 
toten ,kill 
weihnachten ,Christmas 
offensichtlich ,apparently 
naja ,Oh well 
henry ,henry 
gefühle ,feelings 
fuß ,foot 
show ,show 
überraschung ,surprise 
geheimnis ,secret 
fbi ,fbi 
kontakt ,contact 
gold ,gold 
drogen ,drugs 
regierung ,government 
wein ,wine 
kriegst ,you get 
ermordet ,murdered 
fotos ,photos 
entfernt ,removed 
geschlafen ,slept 
erledigen ,complete 
ran ,ran 
gegenüber ,opposite 
schlaf ,sleep 
lust ,desire 
wunderschön ,beautiful 
witzig ,funny 
nick ,nick 
zerstört ,destroyed 
übrigens ,by the way 
willen ,will 
heim ,home 
richtigen ,correct 
deines ,yours 
namens ,called 
zeigt ,shows 
geliebt ,loved 
gehören ,belong 
brachte ,brought 
herrn ,mr 
blick ,view 
besuch ,visit 
schlechte ,bad 
bewegen ,move 
haare ,hair 
antworten ,answer 
präsident ,president 
sagtest ,you said 
hoffnung ,hope 
stecken ,put 
lebe ,live 
rechts ,right 
interessant ,interesting 
entscheiden ,decide 
miteinander ,each other 
meint ,means 
liebst ,love 
indem ,by 
bleibst ,stay 
kümmere ,take care 
wohnen ,reside 
weder ,neither 
möglichkeit ,possibility 
kaputt ,broken 
bekomme ,get 
flugzeug ,airplane 
vergangenheit ,past 
anderer ,others 
zweite ,second 
armee ,army 
jim ,jim 
tee ,tea 
entweder ,either 
weiss ,white 
don ,Don 
detective ,detective 
aufhalten ,stop 
stellt ,provides 
verspreche ,promise 
überrascht ,surprised 
sauber ,clean 
hau ,hew 
mark ,mark 
schlag ,hit 
sheriff ,sheriff 
untertitel ,subtitles 
setzt ,sets 
frag ,ask 
vaters ,father 
nervös ,nervous 
gesellschaft ,company 
verstecken ,hide 
schuldig ,guilty 
hals ,neck 
schützen ,protect 
besuchen ,visit 
of ,of 
passen ,fit 
überleben ,survive 
erhalten ,receive 
teilen ,split 
gebäude ,building 
schicksal ,fate 
zeichen ,sign 
richter ,judge 
besorgt ,worried 
küche ,kitchen 
lief ,ran 
vergnügen ,enjoyment 
wüsste ,knew 
volk ,people 
lhr ,yours 
herausfinden ,find out 
königin ,queen 
soldaten ,soldiers 
feiern ,celebrate 
situation ,situation 
lag ,lay 
gelassen ,calm 
allerdings ,however 
soweit ,so far 
gefahren ,driven 
verstand ,mind 
bord ,board 
schönes ,beautiful 
jimmy ,Jimmy 
billy ,billy 
angefangen ,begun 
lee ,lee 
fühlst ,feel 
bob ,bob 
mussten ,had to 
rat ,advice 
worauf ,what 
gebeten ,requested 
tony ,tony 
kamera ,camera 
achtung ,danger 
lieutenant ,lieutenant 
ganzes ,whole 
schuhe ,shoes 
sarah ,sarah 
niemandem ,nobody 
gibst ,give 
statt ,instead of 
übernehmen ,take over 
gegend ,area 
wald ,forest 
